Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,BTrout,Chum,Pink,TempC
Lower Granite,2008-03-01,,,,159,35,,,,,,,,,
Lower Granite,2008-03-02,,,,283,60,,,,,,,,,
Lower Granite,2008-03-03,,,,59,9,,,,,,,,,
Lower Granite,2008-03-04,,,,54,7,,,,,,,,,
Lower Granite,2008-03-05,,,,38,4,,,,,,,,,
Lower Granite,2008-03-06,,,,56,11,,,,,,,,,
Lower Granite,2008-03-07,,,,288,64,,,,,,,,,
Lower Granite,2008-03-08,,,,80,14,,,,,,,,,
Lower Granite,2008-03-09,,,,58,9,,,,,,,,,
Lower Granite,2008-03-10,,,,57,9,,,,,,,,,
Lower Granite,2008-03-11,,,,74,13,,,,,,,,,
Lower Granite,2008-03-12,,,,61,8,,,,,,,,,
Lower Granite,2008-03-13,,,,57,13,,,,,,,,,
Lower Granite,2008-03-14,,,,52,7,,,,,,,,,
Lower Granite,2008-03-15,,,,197,38,,,,,,,,,
Lower Granite,2008-03-16,,,,216,44,,,,,,,,,
Lower Granite,2008-03-17,Sp,,,119,22,,,,,,,,,
Lower Granite,2008-03-18,Sp,,,140,28,,,,,,,,,5.6
Lower Granite,2008-03-19,Sp,,,124,30,,,,,,,,,5.5
Lower Granite,2008-03-20,Sp,,,138,30,,,,,,,,,5.6
Lower Granite,2008-03-21,Sp,,,177,38,,,,,,,,,5.7
Lower Granite,2008-03-22,Sp,,,173,35,,,,,,,,,5.7
Lower Granite,2008-03-23,Sp,,,223,41,,,,,,,,,5.8
Lower Granite,2008-03-24,Sp,,,120,24,,,,,,,,,5.8
Lower Granite,2008-03-25,Sp,,,74,11,,,,,,,,,5.9
Lower Granite,2008-03-26,Sp,,,91,18,,,,,,,,,6.2
Lower Granite,2008-03-27,Sp,,,139,32,,,,,,,,,6.4
Lower Granite,2008-03-28,Sp,,,140,30,,,,,,,,,6.5
Lower Granite,2008-03-29,Sp,,,164,35,,,,,,,,,6.3
Lower Granite,2008-03-30,Sp,,,99,19,,,,,,,,,6.4
Lower Granite,2008-03-31,Sp,,,102,26,,,,,,,,,6.3
Lower Granite,2008-04-01,Sp,,,89,31,,,,,,,,,6.3
Lower Granite,2008-04-02,Sp,,,78,28,,,,,,,,,6.1
Lower Granite,2008-04-03,Sp,,,75,19,,,,,,,,,6.1
Lower Granite,2008-04-04,Sp,,,191,66,,,,,,,,,6.3
Lower Granite,2008-04-05,Sp,,,191,61,,,,,,,,,6.5
Lower Granite,2008-04-06,Sp,,,160,56,,,,,,,,,6.8
Lower Granite,2008-04-07,Sp,,,153,50,,,,,,,,,6.9
Lower Granite,2008-04-08,Sp,,,92,28,,,,,,,,,7
Lower Granite,2008-04-09,Sp,,,124,53,,,,,,,,,7.3
Lower Granite,2008-04-10,Sp,4,,95,42,,,,,,,,,7.4
Lower Granite,2008-04-11,Sp,1,,131,48,,,,,,,,,7.6
Lower Granite,2008-04-12,Sp,1,,112,42,,,,,,,,,8
Lower Granite,2008-04-13,Sp,-1,,152,42,,,,,,,,,8.1
Lower Granite,2008-04-14,Sp,,,113,40,,,,,,,,,8
Lower Granite,2008-04-15,Sp,4,,155,48,,,,,,,,,8.3
Lower Granite,2008-04-16,Sp,1,,150,62,,,,,,,,,8.9
Lower Granite,2008-04-17,Sp,2,,157,68,,,,,,,,,8.9
Lower Granite,2008-04-18,Sp,4,,167,78,,,,,,,,,8.3
Lower Granite,2008-04-19,Sp,6,,118,59,,,,,,,,,8.1
Lower Granite,2008-04-20,Sp,2,,135,61,,,,,,,,,8.3
Lower Granite,2008-04-21,Sp,12,,118,47,,,,,,,,,8.6
Lower Granite,2008-04-22,Sp,19,,101,41,,,,,,,,,8.5
Lower Granite,2008-04-23,Sp,36,,99,53,,,,,,,,,8
Lower Granite,2008-04-24,Sp,58,1,89,47,,,,,,,,,7.8
Lower Granite,2008-04-25,Sp,61,4,84,40,,,,,,,,,7.9
Lower Granite,2008-04-26,Sp,82,,78,47,,,,,,,,,8.4
Lower Granite,2008-04-27,Sp,144,13,79,44,,,,,,,,,8.7
Lower Granite,2008-04-28,Sp,58,1,42,18,,,,,,,,,8.6
Lower Granite,2008-04-29,Sp,170,1,35,16,,,,,,,,,8.9
Lower Granite,2008-04-30,Sp,329,6,49,19,,,,,,,,,9.4
Lower Granite,2008-05-01,Sp,88,2,38,18,,,,,,,,,10
Lower Granite,2008-05-02,Sp,198,4,25,17,,,,,,,,,9.9
Lower Granite,2008-05-03,Sp,149,,16,2,,,,,,,,,9.1
Lower Granite,2008-05-04,Sp,220,5,29,16,,,,,,,,,9.1
Lower Granite,2008-05-05,Sp,353,6,22,12,,,,,,,,,9.6
Lower Granite,2008-05-06,Sp,485,10,39,26,,,,,,,,,10.1
Lower Granite,2008-05-07,Sp,592,10,43,29,,,,,,,,,10.6
Lower Granite,2008-05-08,Sp,769,13,43,29,,,,,,,,,10.6
Lower Granite,2008-05-09,Sp,1548,28,34,23,,,,,,,,,10.2
Lower Granite,2008-05-10,Sp,1475,53,36,19,,,,,,,,,9.8
Lower Granite,2008-05-11,Sp,1543,62,31,19,,,,,,,,,9.8
Lower Granite,2008-05-12,Sp,862,48,26,18,,,,,,,,,9.7
Lower Granite,2008-05-13,Sp,792,58,24,18,,,,,,,,,9.8
Lower Granite,2008-05-14,Sp,1375,107,21,19,,,,,,,,,9.8
Lower Granite,2008-05-15,Sp,982,107,19,12,,,,,,,,,10
Lower Granite,2008-05-16,Sp,1037,121,10,6,,,,,,,,,10.2
Lower Granite,2008-05-17,Sp,1256,172,20,10,,,,,,,,,10.6
Lower Granite,2008-05-18,Sp,2566,523,17,11,,,,,,,,,11.3
Lower Granite,2008-05-19,Sp,1748,438,8,7,,,,,,,,,11.1
Lower Granite,2008-05-20,Sp,544,185,5,1,,,,,,,,,10.3
Lower Granite,2008-05-21,Sp,281,102,3,1,,,,,,,,,9.6
Lower Granite,2008-05-22,Sp,134,83,,,,,,,,,,,9
Lower Granite,2008-05-23,Sp,442,175,2,1,,,,,,,,,8.7
Lower Granite,2008-05-24,Sp,984,371,2,1,,,,,,,,,8.8
Lower Granite,2008-05-25,Sp,1451,499,7,5,,,,,,,,,9.3
Lower Granite,2008-05-26,Sp,1846,568,2,2,,,,,,,,,10.2
Lower Granite,2008-05-27,Sp,1621,455,9,5,,,,,,,,,10.7
Lower Granite,2008-05-28,Sp,2010,535,3,2,,,,,,,,,10.9
Lower Granite,2008-05-29,Sp,1452,473,7,6,,,,,,,,,10.9
Lower Granite,2008-05-30,Sp,1121,408,2,2,,,,,,,,,10.8
Lower Granite,2008-05-31,Sp,1168,282,4,,,,,,,,,,10.7
Lower Granite,2008-06-01,Sp,1885,463,8,6,,,,1,,,,,11
Lower Granite,2008-06-02,Sp,1118,377,4,4,,,,,,,,,11.2
Lower Granite,2008-06-03,Sp,1283,506,,,,,,,,,,,11.2
Lower Granite,2008-06-04,Sp,966,361,,,,,,,,,,,10.6
Lower Granite,2008-06-05,Sp,912,364,2,2,,,,,,,,,10.2
Lower Granite,2008-06-06,Sp,1280,414,1,,,,,,,,,,10.1
Lower Granite,2008-06-07,Sp,1513,377,6,5,,,,,,,,,10.5
Lower Granite,2008-06-08,Sp,1408,272,1,1,,,,,,,,,10.8
Lower Granite,2008-06-09,Sp,480,148,,,,,,,,,,,10.8
Lower Granite,2008-06-10,Sp,743,229,2,2,,,,,,,,,11.1
Lower Granite,2008-06-11,Sp,553,152,,,,,,,,,,,11.3
Lower Granite,2008-06-12,Sp,1122,252,2,,,,,,,,,,11.1
Lower Granite,2008-06-13,Sp,1463,325,,,,,,,,,,,10.5
Lower Granite,2008-06-14,Sp,1248,229,1,,,,,,,,,,10.9
Lower Granite,2008-06-15,Sp,708,160,,-1,,,,,,,,,11.8
Lower Granite,2008-06-16,Sp,522,166,-1,-1,,,,,,,,,12.6
Lower Granite,2008-06-17,Sp,857,222,1,,,,,,,,,,13.1
Lower Granite,2008-06-18,Su,784,211,,,,,,,,,,,13.5
Lower Granite,2008-06-19,Su,802,253,1,1,,,,,,,,,13.5
Lower Granite,2008-06-20,Su,1043,232,2,1,,,,1,,,,,13.1
Lower Granite,2008-06-21,Su,1094,190,1,,,,,,,,,,13.1
Lower Granite,2008-06-22,Su,1153,223,-2,-1,,,,,,,,,13.4
Lower Granite,2008-06-23,Su,821,226,3,1,,,,,,,,,13.5
Lower Granite,2008-06-24,Su,917,251,8,6,,,,,,,,,13.7
Lower Granite,2008-06-25,Su,1682,378,2,1,1,,,,,,,,13.5
Lower Granite,2008-06-26,Su,1591,313,9,1,2,,,,,,,,13.8
Lower Granite,2008-06-27,Su,1555,328,9,4,12,,,1,,,,,14.1
Lower Granite,2008-06-28,Su,937,185,18,6,2,,,,,,,,14.5
Lower Granite,2008-06-29,Su,1290,232,14,6,6,,,1,,,,,14.9
Lower Granite,2008-06-30,Su,731,154,15,2,18,,,,,,,,15.3
Lower Granite,2008-07-01,Su,583,118,20,6,16,,,2,,,,,15.7
Lower Granite,2008-07-02,Su,799,226,34,8,24,,,10,,,,,15.9
Lower Granite,2008-07-03,Su,592,136,28,8,34,,,10,,,,,15.7
Lower Granite,2008-07-04,Su,312,118,32,14,46,,,13,,,,,15.7
Lower Granite,2008-07-05,Su,890,307,43,18,44,,,13,,,,,16.1
Lower Granite,2008-07-06,Su,538,239,79,25,50,,,26,,,,,16.3
Lower Granite,2008-07-07,Su,497,130,69,25,82,,,46,,,,,16.4
Lower Granite,2008-07-08,Su,395,73,83,29,73,,,54,,,,,16.6
Lower Granite,2008-07-09,Su,366,41,90,34,84,,,119,,,,,17.1
Lower Granite,2008-07-10,Su,322,31,58,28,59,,,89,,,,,17.3
Lower Granite,2008-07-11,Su,227,61,105,41,62,,,44,,,,,17.7
Lower Granite,2008-07-12,Su,317,59,98,31,43,,,30,,,,,18
Lower Granite,2008-07-13,Su,169,25,112,41,35,,,36,,,,,18.1
Lower Granite,2008-07-14,Su,102,11,51,23,24,,,126,,,,,17.9
Lower Granite,2008-07-15,Su,144,29,69,38,22,,,72,,,,,17.7
Lower Granite,2008-07-16,Su,96,26,60,31,18,,,136,,,,,17.8
Lower Granite,2008-07-17,Su,95,25,53,24,14,,,86,,,,,18
Lower Granite,2008-07-18,Su,181,14,151,79,8,,,85,,,,,18
Lower Granite,2008-07-19,Su,121,14,108,62,8,,,163,,,,,18.3
Lower Granite,2008-07-20,Su,98,14,116,55,8,,,76,,,,,18.4
Lower Granite,2008-07-21,Su,78,10,100,38,8,,,52,,,,,18.4
Lower Granite,2008-07-22,Su,66,22,107,54,7,,,25,,,,,18.4
Lower Granite,2008-07-23,Su,72,14,152,61,6,,,56,,,,,18.4
Lower Granite,2008-07-24,Su,98,6,177,80,6,,,114,2,,,,18.3
Lower Granite,2008-07-25,Su,68,17,174,70,4,,,191,,,,,18.1
Lower Granite,2008-07-26,Su,113,20,246,116,6,,,158,,,,,17.7
Lower Granite,2008-07-27,Su,74,14,257,127,2,,,96,2,,,,17.8
Lower Granite,2008-07-28,Su,59,8,342,149,6,,,67,1,,,,18.4
Lower Granite,2008-07-29,Su,102,5,485,196,5,,,146,1,,,,18.6
Lower Granite,2008-07-30,Su,67,5,405,169,4,,,92,2,,,,18.6
Lower Granite,2008-07-31,Su,49,5,397,157,2,,,98,2,,,,18.9
Lower Granite,2008-08-01,Su,60,8,378,146,2,,,173,2,,,,18.7
Lower Granite,2008-08-02,Su,37,2,424,170,1,,,113,,,,,18.6
Lower Granite,2008-08-03,Su,48,4,547,193,5,,,43,,,,,18.7
Lower Granite,2008-08-04,Su,25,2,454,155,2,,,76,,,,,18.7
Lower Granite,2008-08-05,Su,6,5,313,102,,,,112,,,,,18.9
Lower Granite,2008-08-06,Su,23,2,329,109,2,,,104,,,,,18.9
Lower Granite,2008-08-07,Su,23,4,409,167,,,,62,2,,,,18.8
Lower Granite,2008-08-08,Su,17,4,435,155,1,,,41,1,,,,18.9
Lower Granite,2008-08-09,Su,37,4,494,187,2,,,70,,,,,19.1
Lower Granite,2008-08-10,Su,61,6,756,290,,,,22,2,,,,19.2
Lower Granite,2008-08-11,Su,48,11,796,260,5,,,74,2,,,,19.4
Lower Granite,2008-08-12,Su,36,5,550,179,5,,,16,4,,,,19.3
Lower Granite,2008-08-13,Su,37,4,381,104,1,,,43,2,,,,19.2
Lower Granite,2008-08-14,Su,28,5,298,94,1,,,29,5,,,,18.8
Lower Granite,2008-08-15,Su,10,2,186,66,2,,,37,2,,,,18.8
Lower Granite,2008-08-16,Su,12,1,276,110,2,,,74,2,,,,19.2
Lower Granite,2008-08-17,Su,14,4,318,102,,,,23,5,,,,19.5
Lower Granite,2008-08-18,Fa,36,6,552,184,1,,,25,,,,,19.6
Lower Granite,2008-08-19,Fa,44,10,416,121,2,,,30,1,,,,18.8
Lower Granite,2008-08-20,Fa,25,6,257,90,1,,,6,,,,,18.8
Lower Granite,2008-08-21,Fa,67,7,480,148,,,,22,7,,,,19.2
Lower Granite,2008-08-22,Fa,61,13,626,186,,,,19,-1,,,,18.9
Lower Granite,2008-08-23,Fa,28,10,521,156,,,,2,,,,,18.5
Lower Granite,2008-08-24,Fa,23,4,360,92,,,,5,,,,,18.3
Lower Granite,2008-08-25,Fa,91,30,331,91,4,,,1,2,,,,18
Lower Granite,2008-08-26,Fa,109,29,443,144,1,,,5,1,,,,17.6
Lower Granite,2008-08-27,Fa,86,12,358,98,1,,,1,,,,,17.6
Lower Granite,2008-08-28,Fa,58,30,450,137,,,,,,,,,17.4
Lower Granite,2008-08-29,Fa,37,7,360,82,,,,4,,,,,17.4
Lower Granite,2008-08-30,Fa,130,26,525,146,,,,1,-1,,,,17
Lower Granite,2008-08-31,Fa,209,30,573,142,,,,,,,,,16.4
Lower Granite,2008-09-01,Fa,313,61,1129,326,,,,,1,,,,16.6
Lower Granite,2008-09-02,Fa,336,62,491,145,,,,,4,,,,17.5
Lower Granite,2008-09-03,Fa,474,86,578,158,,,,,6,,,,17.2
Lower Granite,2008-09-04,Fa,676,131,960,287,,,,,1,,,,16.7
Lower Granite,2008-09-05,Fa,394,151,844,227,,,,,,,,,16.5
Lower Granite,2008-09-06,Fa,814,140,1005,269,,,,,,,,,16.6
Lower Granite,2008-09-07,Fa,895,119,1307,312,,2,1,,-1,,,,16.7
Lower Granite,2008-09-08,Fa,719,110,1194,289,,2,4,,,,,,17
Lower Granite,2008-09-09,Fa,696,126,1733,425,,,1,,1,,,,17.5
Lower Granite,2008-09-10,Fa,979,181,2528,595,,7,6,,1,,,,17.6
Lower Granite,2008-09-11,Fa,670,143,2250,523,,11,2,,,,,,17.5
