Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2013-02-28,,,,,,,,,,,,,,,,
Lower Granite,2013-03-01,,,,30,10,,,,,,,,,,,
Lower Granite,2013-03-02,,,,30,12,,,,,,,,,,,
Lower Granite,2013-03-03,,,,101,28,,,,,,,,,,,
Lower Granite,2013-03-04,,,,67,14,,,,,,,,,,,
Lower Granite,2013-03-05,,,,94,34,,,,,,,,,,,
Lower Granite,2013-03-06,,,,77,29,,,,,,,,,,,
Lower Granite,2013-03-07,,,,152,55,,,,,,,,,,,
Lower Granite,2013-03-08,,,,417,172,,,,,,,,,,,
Lower Granite,2013-03-09,,,,465,151,,,,,,,,,,,
Lower Granite,2013-03-10,,,,190,56,,,,,,,,,,,
Lower Granite,2013-03-11,,,,62,19,,,,,,,,,,,
Lower Granite,2013-03-12,,,,92,27,,,,,,,,,,,
Lower Granite,2013-03-13,,,,88,31,,,,,,,,,,,5.3
Lower Granite,2013-03-14,,,,92,28,,,,,,,,,,,5.6
Lower Granite,2013-03-15,,,,148,71,,,,,,,,,,,5.5
Lower Granite,2013-03-16,,,,120,38,,,,,,,,,,,5.6
Lower Granite,2013-03-17,Sp,,,489,169,,,,,,,,,,,5.8
Lower Granite,2013-03-18,Sp,,,112,50,,,,,,,,,,,6.1
Lower Granite,2013-03-19,Sp,,,111,36,,,,,,,,,,,6.5
Lower Granite,2013-03-20,Sp,,,160,62,,,,,,,,,,,6.8
Lower Granite,2013-03-21,Sp,,,109,38,,,,,,,,,,,6.8
Lower Granite,2013-03-22,Sp,,,154,58,,,,,,,,,,,6.6
Lower Granite,2013-03-23,Sp,,,168,69,,,,,,,,,,,6.3
Lower Granite,2013-03-24,Sp,,,175,77,,,,,,,,,,,6.2
Lower Granite,2013-03-25,Sp,,,75,30,,,,,,,,,,,6.3
Lower Granite,2013-03-26,Sp,,,60,25,,,,,,,,,,,6.4
Lower Granite,2013-03-27,Sp,,,78,33,,,,,,,,,,,6.2
Lower Granite,2013-03-28,Sp,,,59,30,,,,,,,,,,,5.9
Lower Granite,2013-03-29,Sp,,,94,39,,,,,,,,,,,5.9
Lower Granite,2013-03-30,Sp,,,222,80,,,,,,,,,,,6.5
Lower Granite,2013-03-31,Sp,1,,170,67,,,,,,,,,,,7.2
Lower Granite,2013-04-01,Sp,,,124,56,,,,,,,,,,,7.5
Lower Granite,2013-04-02,Sp,1,,116,58,,,,,,,,,,,8.1
Lower Granite,2013-04-03,Sp,,,92,54,,,,,,,,,,,8.7
Lower Granite,2013-04-04,Sp,,,187,96,,,,,,,,,,,9.1
Lower Granite,2013-04-05,Sp,,,189,94,,,,,,,,,,,9
Lower Granite,2013-04-06,Sp,1,,207,101,,,,,,,,,,,9.2
Lower Granite,2013-04-07,Sp,,,163,83,,,,,,,,,,,9.1
Lower Granite,2013-04-08,Sp,4,,152,62,,,,,,,,,,,8.8
Lower Granite,2013-04-09,Sp,,,138,89,,,,,,,,,,,8.6
Lower Granite,2013-04-10,Sp,,,130,74,,,,,,,,,,,8.4
Lower Granite,2013-04-11,Sp,2,,105,58,,,,,,,,,,,8
Lower Granite,2013-04-12,Sp,1,,104,52,,,,,,,,,,,7.9
Lower Granite,2013-04-13,Sp,5,,143,73,,,,,,,,,,,8
Lower Granite,2013-04-14,Sp,5,,117,67,,,,,,,,,,,7.9
Lower Granite,2013-04-15,Sp,,,85,42,,,,,,,,,,,7.9
Lower Granite,2013-04-16,Sp,4,,80,40,,,,,,,,,,,8.1
Lower Granite,2013-04-17,Sp,5,2,56,28,,,,,,,,,,,8.1
Lower Granite,2013-04-18,Sp,2,,40,16,,,,,,,,,,,8.1
Lower Granite,2013-04-19,Sp,4,,24,11,,,,,,,,,,,8.1
Lower Granite,2013-04-20,Sp,11,4,60,36,,,,,,,,,,,8.1
Lower Granite,2013-04-21,Sp,12,1,61,29,,,,,,,,,,,8
Lower Granite,2013-04-22,Sp,,1,36,25,,,,,,,,,,,7.9
Lower Granite,2013-04-23,Sp,14,2,40,26,,,,,,,,,,,8.1
Lower Granite,2013-04-24,Sp,22,2,38,20,,,,,,,,,,,8.6
Lower Granite,2013-04-25,Sp,10,,30,19,,,,,,,,,,,9
Lower Granite,2013-04-26,Sp,22,2,33,20,,,,,,,,,,,9.3
Lower Granite,2013-04-27,Sp,20,4,30,22,,,,,,,,,,,9.2
Lower Granite,2013-04-28,Sp,23,,26,13,,,,,,,,,,,9.3
Lower Granite,2013-04-29,Sp,31,2,27,16,,,,,,,,,,,9.9
Lower Granite,2013-04-30,Sp,47,1,41,18,,,,,,,,,,,10.4
Lower Granite,2013-05-01,Sp,89,17,31,18,,,,,,,,,,,10.4
Lower Granite,2013-05-02,Sp,220,8,31,23,,,,,1,,1,,,,10.5
Lower Granite,2013-05-03,Sp,299,8,24,16,,,,,,,,,,,10
Lower Granite,2013-05-04,Sp,398,25,21,13,,,,,,,,,,,9.9
Lower Granite,2013-05-05,Sp,664,52,21,13,,,,,,,,,,,10.1
Lower Granite,2013-05-06,Sp,762,55,23,13,,,,,,,,,,,10.2
Lower Granite,2013-05-07,Sp,1034,97,22,16,,,,,,,,,,,10.7
Lower Granite,2013-05-08,Sp,1690,137,23,18,,,,,,,,,,,11.1
Lower Granite,2013-05-09,Sp,1597,157,15,10,,,,,,,,,,,11.7
Lower Granite,2013-05-10,Sp,1231,222,15,10,,,,,,,,,,,12.1
Lower Granite,2013-05-11,Sp,1733,344,11,5,,,,,,,,,,,12.1
Lower Granite,2013-05-12,Sp,2501,770,9,4,,,,,,,,,,,11.8
Lower Granite,2013-05-13,Sp,856,486,4,2,,,,,,,,,,,11.5
Lower Granite,2013-05-14,Sp,1387,664,9,7,,,,,,,,,,,11.4
Lower Granite,2013-05-15,Sp,1741,1104,7,6,,,,,,,,,,,11
Lower Granite,2013-05-16,Sp,1284,1157,2,1,,,,,,,,,,,10.8
Lower Granite,2013-05-17,Sp,1506,1372,9,7,,,,,,,,,,,10.8
Lower Granite,2013-05-18,Sp,1589,1372,2,1,,,,,,,,,,,10.9
Lower Granite,2013-05-19,Sp,893,959,3,1,,,,,,,,,,,11
Lower Granite,2013-05-20,Sp,498,739,4,4,,,,,,,,,,,10.9
Lower Granite,2013-05-21,Sp,628,746,1,1,,,,,,,,,,,10.8
Lower Granite,2013-05-22,Sp,576,716,1,1,,,,,,,,,,,10.9
Lower Granite,2013-05-23,Sp,487,545,1,,,,,,,,,,,,11.2
Lower Granite,2013-05-24,Sp,611,601,1,,,,,,,,,,,,11.3
Lower Granite,2013-05-25,Sp,443,467,2,2,,,,,,,,,,,11.1
Lower Granite,2013-05-26,Sp,247,421,4,,,,,,,,,,,,11.1
Lower Granite,2013-05-27,Sp,443,458,2,1,,,,,,,,,,,11
Lower Granite,2013-05-28,Sp,307,314,,,,,,,1,,1,,,,11.2
Lower Granite,2013-05-29,Sp,404,374,2,2,,,,,,,,,,,11.7
Lower Granite,2013-05-30,Sp,443,424,2,,,,,,,,,,,,12
Lower Granite,2013-05-31,Sp,526,458,2,1,,,,,,,,,,,12.4
Lower Granite,2013-06-01,Sp,660,395,1,1,,,,,,,,,,,12.3
Lower Granite,2013-06-02,Sp,456,270,1,1,,,,,,,,,,,12.3
Lower Granite,2013-06-03,Sp,304,235,1,,,,,,,,,,,,12.8
Lower Granite,2013-06-04,Sp,613,364,,,,,,,,,,,,,13
Lower Granite,2013-06-05,Sp,637,298,1,,,,,,,,,,,,13.4
Lower Granite,2013-06-06,Sp,479,227,2,1,2,,,,-1,,-1,,,,14
Lower Granite,2013-06-07,Sp,301,199,1,,,,,,,,,,,,14.3
Lower Granite,2013-06-08,Sp,454,210,1,,1,,,,,,,,,,15
Lower Granite,2013-06-09,Sp,412,184,4,,,,,,,,,,,,15.4
Lower Granite,2013-06-10,Sp,378,181,1,1,,,,,,,,,,,15.6
Lower Granite,2013-06-11,Sp,314,196,,,,,,2,,,,,,,15.6
Lower Granite,2013-06-12,Sp,257,262,2,,,,,1,,,,,,,15.6
Lower Granite,2013-06-13,Sp,428,310,3,1,,,,,,,,,,,15.6
Lower Granite,2013-06-14,Sp,425,299,4,,,,,1,,,,,,,15.6
Lower Granite,2013-06-15,Sp,478,278,3,1,,,,,,,,,,,15.7
Lower Granite,2013-06-16,Sp,695,404,1,1,,,,,,,,,,,15.7
Lower Granite,2013-06-17,Sp,406,338,6,,1,,,,,,,,,,15.7
Lower Granite,2013-06-18,Su,397,293,2,,,,,,,,,,,,15.7
Lower Granite,2013-06-19,Su,384,229,3,1,,,,,,,,,,,16.2
Lower Granite,2013-06-20,Su,160,169,5,1,1,,,1,,,,,,,16.3
Lower Granite,2013-06-21,Su,181,205,5,,,,,,,,,,,,16.2
Lower Granite,2013-06-22,Su,220,308,3,1,,,,,,,,,,,15.9
Lower Granite,2013-06-23,Su,648,550,3,1,1,,,,,,,,,,15.2
Lower Granite,2013-06-24,Su,329,250,8,1,1,,,1,,,,,,,14.8
Lower Granite,2013-06-25,Su,209,192,6,4,4,,,2,,,,,,,15.2
Lower Granite,2013-06-26,Su,222,239,9,4,4,,,6,,,,,,,15.6
Lower Granite,2013-06-27,Su,233,284,4,2,6,,,4,,,,,,,15.8
