
year,mm-dd,location,parameter,unit,datatype,value
2015,1-1,LWG,outflow,kcfs,Outflow,25.954
2015,1-2,LWG,outflow,kcfs,Outflow,23.938
2015,1-3,LWG,outflow,kcfs,Outflow,24.488
2015,1-4,LWG,outflow,kcfs,Outflow,28.229
2015,1-5,LWG,outflow,kcfs,Outflow,27.300
2015,1-6,LWG,outflow,kcfs,Outflow,31.242
2015,1-7,LWG,outflow,kcfs,Outflow,37.904
2015,1-8,LWG,outflow,kcfs,Outflow,38.708
2015,1-9,LWG,outflow,kcfs,Outflow,36.429
2015,1-10,LWG,outflow,kcfs,Outflow,33.479
2015,1-11,LWG,outflow,kcfs,Outflow,33.554
2015,1-12,LWG,outflow,kcfs,Outflow,30.883
2015,1-13,LWG,outflow,kcfs,Outflow,27.621
2015,1-14,LWG,outflow,kcfs,Outflow,31.917
2015,1-15,LWG,outflow,kcfs,Outflow,30.150
2015,1-16,LWG,outflow,kcfs,Outflow,30.413
2015,1-17,LWG,outflow,kcfs,Outflow,30.704
2015,1-18,LWG,outflow,kcfs,Outflow,32.175
2015,1-19,LWG,outflow,kcfs,Outflow,38.750
2015,1-20,LWG,outflow,kcfs,Outflow,43.013
2015,1-21,LWG,outflow,kcfs,Outflow,41.163
2015,1-22,LWG,outflow,kcfs,Outflow,35.938
2015,1-23,LWG,outflow,kcfs,Outflow,33.438
2015,1-24,LWG,outflow,kcfs,Outflow,36.813
2015,1-25,LWG,outflow,kcfs,Outflow,34.325
2015,1-26,LWG,outflow,kcfs,Outflow,37.408
2015,1-27,LWG,outflow,kcfs,Outflow,36.388
2015,1-28,LWG,outflow,kcfs,Outflow,38.554
2015,1-29,LWG,outflow,kcfs,Outflow,41.558
2015,1-30,LWG,outflow,kcfs,Outflow,36.938
2015,1-31,LWG,outflow,kcfs,Outflow,39.729
2015,2-1,LWG,outflow,kcfs,Outflow,38.246
2015,2-2,LWG,outflow,kcfs,Outflow,36.321
2015,2-3,LWG,outflow,kcfs,Outflow,39.629
2015,2-4,LWG,outflow,kcfs,Outflow,38.213
2015,2-5,LWG,outflow,kcfs,Outflow,39.683
2015,2-6,LWG,outflow,kcfs,Outflow,41.971
2015,2-7,LWG,outflow,kcfs,Outflow,46.471
2015,2-8,LWG,outflow,kcfs,Outflow,56.025
2015,2-9,LWG,outflow,kcfs,Outflow,69.188
2015,2-10,LWG,outflow,kcfs,Outflow,87.671
2015,2-11,LWG,outflow,kcfs,Outflow,84.433
2015,2-12,LWG,outflow,kcfs,Outflow,77.904
2015,2-13,LWG,outflow,kcfs,Outflow,70.146
2015,2-14,LWG,outflow,kcfs,Outflow,69.550
2015,2-15,LWG,outflow,kcfs,Outflow,69.825
2015,2-16,LWG,outflow,kcfs,Outflow,66.050
2015,2-17,LWG,outflow,kcfs,Outflow,62.896
2015,2-18,LWG,outflow,kcfs,Outflow,57.421
2015,2-19,LWG,outflow,kcfs,Outflow,53.104
2015,2-20,LWG,outflow,kcfs,Outflow,53.946
2015,2-21,LWG,outflow,kcfs,Outflow,48.704
2015,2-22,LWG,outflow,kcfs,Outflow,47.775
2015,2-23,LWG,outflow,kcfs,Outflow,48.067
2015,2-24,LWG,outflow,kcfs,Outflow,44.692
2015,2-25,LWG,outflow,kcfs,Outflow,37.696
2015,2-26,LWG,outflow,kcfs,Outflow,43.642
2015,2-27,LWG,outflow,kcfs,Outflow,39.508
2015,2-28,LWG,outflow,kcfs,Outflow,39.654
2015,3-1,LWG,outflow,kcfs,Outflow,38.354
2015,3-2,LWG,outflow,kcfs,Outflow,36.196
2015,3-3,LWG,outflow,kcfs,Outflow,33.288
2015,3-4,LWG,outflow,kcfs,Outflow,38.363
2015,3-5,LWG,outflow,kcfs,Outflow,30.083
2015,3-6,LWG,outflow,kcfs,Outflow,31.275
2015,3-7,LWG,outflow,kcfs,Outflow,26.142
2015,3-8,LWG,outflow,kcfs,Outflow,26.904
2015,3-9,LWG,outflow,kcfs,Outflow,25.258
2015,3-10,LWG,outflow,kcfs,Outflow,27.946
2015,3-11,LWG,outflow,kcfs,Outflow,28.913
2015,3-12,LWG,outflow,kcfs,Outflow,29.225
2015,3-13,LWG,outflow,kcfs,Outflow,26.182
2015,3-14,LWG,outflow,kcfs,Outflow,29.888
2015,3-15,LWG,outflow,kcfs,Outflow,29.392
2015,3-16,LWG,outflow,kcfs,Outflow,41.900
2015,3-17,LWG,outflow,kcfs,Outflow,46.304
2015,3-18,LWG,outflow,kcfs,Outflow,49.346
2015,3-19,LWG,outflow,kcfs,Outflow,53.675
2015,3-20,LWG,outflow,kcfs,Outflow,52.567
2015,3-21,LWG,outflow,kcfs,Outflow,48.900
2015,3-22,LWG,outflow,kcfs,Outflow,47.542
2015,3-23,LWG,outflow,kcfs,Outflow,46.867
2015,3-24,LWG,outflow,kcfs,Outflow,47.338
