Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2016-03-01,,,,30,15,,,,,,,,,,,5.1
Lower Granite,2016-03-02,,,,52,23,,,,,,,,,,,5.2
Lower Granite,2016-03-03,,,,54,20,,,,,,,,,,,5.4
Lower Granite,2016-03-04,,,,55,19,,,,,,,,,,,5.6
Lower Granite,2016-03-05,,,,100,36,,,,,,,,,,,5.7
Lower Granite,2016-03-06,,,,323,137,,,,,,,,,,,5.9
Lower Granite,2016-03-07,,,,81,38,,,,,,,,,,,5.9
Lower Granite,2016-03-08,,,,94,39,,,,,,,,,,,6.2
Lower Granite,2016-03-09,,,,65,24,,,,,,,,,,,6.4
Lower Granite,2016-03-10,,,,135,54,,,,,,,,,,,6.8
Lower Granite,2016-03-11,,,,155,74,,,,,,,,,,,6.8
Lower Granite,2016-03-12,,,,155,81,,,,,,,,,,,6.8
Lower Granite,2016-03-13,,,,159,64,,,,,,,,,,,6.8
Lower Granite,2016-03-14,,,,156,80,,,,,,,,,,,6.8
Lower Granite,2016-03-15,,,,164,80,,,,,,,,,,,6.8
Lower Granite,2016-03-16,,,,177,84,,,,,,,,,,,7.1
Lower Granite,2016-03-17,Sp,,,123,70,,,,,,,,,,,7.1
Lower Granite,2016-03-18,Sp,,,170,91,,,,,,,,,,,7
Lower Granite,2016-03-19,Sp,,,123,66,,,,,,,,,,,6.9
Lower Granite,2016-03-20,Sp,,,107,54,,,,,,,,,,,7.1
Lower Granite,2016-03-21,Sp,,,83,39,,,,,,,,,,,7.2
Lower Granite,2016-03-22,Sp,,,90,53,,,,,,,,,,,7.3
Lower Granite,2016-03-23,Sp,,,145,81,,,,,,,,,,,7.6
Lower Granite,2016-03-24,Sp,,,135,74,,,,,,,,,,,8.2
Lower Granite,2016-03-25,Sp,1,,294,169,,,,,,,,,,,8
Lower Granite,2016-03-26,Sp,,,170,102,,,,,,,,,,,7.9
Lower Granite,2016-03-27,Sp,1,,166,102,,,,,,,,,,,7.9
Lower Granite,2016-03-28,Sp,,,83,54,,,,,,,,,,,7.8
Lower Granite,2016-03-29,Sp,-1,,50,29,,,,,,,,,,,7.7
Lower Granite,2016-03-30,Sp,1,,67,47,,,,,,,,,,,7.7
Lower Granite,2016-03-31,Sp,1,,82,54,,,,,,,,,,,7.8
Lower Granite,2016-04-01,Sp,,,93,55,,,,,,,,,,,8
Lower Granite,2016-04-02,Sp,,,57,61,,,,,,,,,,,8.6
Lower Granite,2016-04-03,Sp,,,105,62,,,,,,,,,,,9.1
Lower Granite,2016-04-04,Sp,,,121,85,,,,,,,,,,,9.2
Lower Granite,2016-04-05,Sp,1,,95,53,,,,,,,,,,,9.5
Lower Granite,2016-04-06,Sp,1,,55,30,,,,,,,,,,,9.7
Lower Granite,2016-04-07,Sp,2,,90,58,,,,,,,,,,,9.7
Lower Granite,2016-04-08,Sp,5,1,55,38,,,,,,,,,,,9.3
Lower Granite,2016-04-09,Sp,1,,48,38,,,,,,,,,,,9.2
Lower Granite,2016-04-10,Sp,2,,56,40,,,,,,,,,,,9.8
Lower Granite,2016-04-11,Sp,4,,46,29,,,,,,,,,,,10.3
Lower Granite,2016-04-12,Sp,2,,42,32,,,,,,,,,,,10.4
Lower Granite,2016-04-13,Sp,4,,48,35,,,,,,,,,,,10.3
Lower Granite,2016-04-14,Sp,4,,48,32,,,,,,,,,,,9.8
Lower Granite,2016-04-15,Sp,10,,35,28,,,,,,,,,,,9.5
Lower Granite,2016-04-16,Sp,5,,42,36,,,,,,,,,,,9.4
Lower Granite,2016-04-17,Sp,18,,42,34,,,,,,,,,,,9.3
Lower Granite,2016-04-18,Sp,13,,42,30,,,,,,,,,,,9.5
Lower Granite,2016-04-19,Sp,19,,47,36,,,,,,,,,,,10.1
Lower Granite,2016-04-20,Sp,10,,41,35,,,,,,,,,,,10.6
Lower Granite,2016-04-21,Sp,17,,38,28,,,,,,,,,,,11.1
Lower Granite,2016-04-22,Sp,24,,33,23,,,,,,,,,,,11.4
Lower Granite,2016-04-23,Sp,34,1,33,25,,,,,,,,,,,11.4
Lower Granite,2016-04-24,Sp,65,,42,36,,,,,,,,,,,10.9
Lower Granite,2016-04-25,Sp,35,1,17,13,,,,,,,,,,,10.1
Lower Granite,2016-04-26,Sp,97,2,24,19,,,,,,,,,,,9.7
Lower Granite,2016-04-27,Sp,77,,21,16,,,,,,,,,,,10
Lower Granite,2016-04-28,Sp,84,4,19,13,,,,,,,,,,,10.2
Lower Granite,2016-04-29,Sp,127,2,12,8,,,,,,,,,,,10.6
Lower Granite,2016-04-30,Sp,112,1,16,14,,,,,,,,,,,10.5
Lower Granite,2016-05-01,Sp,200,4,7,6,,,,,,,,,,,10.4
Lower Granite,2016-05-02,Sp,108,2,9,8,,,,,,,,,,,10.4
Lower Granite,2016-05-03,Sp,103,4,12,6,,,,,,,,,,,10.7
Lower Granite,2016-05-04,Sp,239,4,9,8,,,,,,,,,,,11.4
Lower Granite,2016-05-05,Sp,425,4,14,8,,,,,,,,,,,12
Lower Granite,2016-05-06,Sp,454,16,14,10,,,,,-1,,-1,,,,12.5
Lower Granite,2016-05-07,Sp,839,10,26,19,,,,,,,,,,,12.8
Lower Granite,2016-05-08,Sp,1670,47,13,7,,,,,,,,,,,12.8
Lower Granite,2016-05-09,Sp,2246,55,11,7,,,,,,,,,,,12.4
Lower Granite,2016-05-10,Sp,4234,112,8,8,,,,,,,,,,,12.3
Lower Granite,2016-05-11,Sp,5622,170,8,8,,,,,,,,,,,11.8
Lower Granite,2016-05-12,Sp,3592,160,6,5,,,,,,,,,,,11.3
Lower Granite,2016-05-13,Sp,3602,192,6,4,,,,,,,,,,,11.1
Lower Granite,2016-05-14,Sp,3246,208,5,4,,,,,,,,,,,11.2
Lower Granite,2016-05-15,Sp,2188,112,2,1,,,,,,,,,,,11.7
Lower Granite,2016-05-16,Sp,906,101,2,1,,,,1,,,,,,,12.2
Lower Granite,2016-05-17,Sp,1045,102,1,1,,,,,,,,,,,11.9
Lower Granite,2016-05-18,Sp,1679,222,2,1,,,,4,,,,,,,11.9
Lower Granite,2016-05-19,Sp,1750,211,1,,,,,,,,,,,,12.3
Lower Granite,2016-05-20,Sp,2072,283,2,2,,,,,,,,,,,13.3
Lower Granite,2016-05-21,Sp,1639,268,,,,,,1,,,,,,,13.6
Lower Granite,2016-05-22,Sp,1859,324,2,2,,,,,,,,,,,12.8
Lower Granite,2016-05-23,Sp,334,113,1,1,,,,,,,,,,,12
Lower Granite,2016-05-24,Sp,502,122,,,,,,,,,,,,,11.8
Lower Granite,2016-05-25,Sp,763,182,,,,,,,,,,,,,11.7
Lower Granite,2016-05-26,Sp,2116,209,1,1,,,,,,,,,,,12
Lower Granite,2016-05-27,Sp,2508,277,2,2,,,,,,,,,,,12.6
Lower Granite,2016-05-28,Sp,2291,244,1,1,,,,4,,,,,,,13.3
Lower Granite,2016-05-29,Sp,1096,124,,,,,,1,,,,,,,13.7
Lower Granite,2016-05-30,Sp,522,86,1,,,,,2,,,,,,,13.9
Lower Granite,2016-05-31,Sp,382,83,1,,,,,4,,,,,,,14.4
Lower Granite,2016-06-01,Sp,528,109,,,,,,1,,1,1,,,,14.8
Lower Granite,2016-06-02,Sp,551,85,1,1,,,,1,,1,1,,,,15
Lower Granite,2016-06-03,Sp,664,52,,,,,,1,,,,,,,15.3
Lower Granite,2016-06-04,Sp,980,109,,,,,,17,,-1,-1,,,,15.5
Lower Granite,2016-06-05,Sp,817,116,3,2,,,,17,,1,1,,,,15.6
Lower Granite,2016-06-06,Sp,737,80,,,,,,7,,,,,,,16
Lower Granite,2016-06-07,Sp,845,96,,,,,,8,,,,,,,16.6
Lower Granite,2016-06-08,Sp,583,53,,-1,,,,6,,,,,,,17.4
Lower Granite,2016-06-09,Sp,904,85,2,1,,,,10,1,2,3,,,,17.9
Lower Granite,2016-06-10,Sp,588,83,1,1,,,,10,1,,1,,,,18.2
Lower Granite,2016-06-11,Sp,397,46,1,1,,,,8,,,,,,,17.9
Lower Granite,2016-06-12,Sp,797,130,3,2,,,,30,,,,,,,17.6
Lower Granite,2016-06-13,Sp,407,65,1,1,,,,22,,,,,,,17.1
Lower Granite,2016-06-14,Sp,494,66,5,4,,,,28,,,,,,,16.9
Lower Granite,2016-06-15,Sp,613,89,6,5,,,,25,,,,,,,16.7
