Date,OutflowKcfs,SpillKcfs,DissolvedGasMmHg
2015-01-01,25.954,0.000,
2015-01-02,23.938,0.000,
2015-01-03,24.488,0.000,
2015-01-04,28.229,0.000,
2015-01-05,27.300,0.000,
2015-01-06,31.242,0.000,
2015-01-07,37.904,0.000,
2015-01-08,38.708,0.000,
2015-01-09,36.429,0.000,
2015-01-10,33.479,0.000,
2015-01-11,33.554,0.000,
2015-01-12,30.883,0.000,
2015-01-13,27.621,0.000,
2015-01-14,31.917,0.000,
2015-01-15,30.150,0.000,
2015-01-16,30.413,0.000,
2015-01-17,30.704,0.000,
2015-01-18,32.175,0.000,
2015-01-19,38.750,0.000,
2015-01-20,43.013,0.000,
2015-01-21,41.163,0.000,
2015-01-22,35.938,0.000,
2015-01-23,33.438,0.000,
2015-01-24,36.813,0.000,
2015-01-25,34.325,0.000,
2015-01-26,37.408,0.000,
2015-01-27,36.388,0.000,
2015-01-28,38.554,0.000,
2015-01-29,41.558,0.000,
2015-01-30,36.938,0.000,
2015-01-31,39.729,0.000,
2015-02-01,38.246,0.000,
2015-02-02,36.321,0.000,
2015-02-03,39.629,0.000,
2015-02-04,38.213,0.000,
2015-02-05,39.683,0.000,
2015-02-06,41.971,0.000,
2015-02-07,46.471,0.000,
2015-02-08,56.025,0.000,
2015-02-09,69.188,0.000,
2015-02-10,87.671,7.238,
2015-02-11,84.433,0.000,
2015-02-12,77.904,0.000,
2015-02-13,70.146,0.000,
2015-02-14,69.550,0.000,
2015-02-15,69.825,0.000,
2015-02-16,66.050,0.000,
2015-02-17,62.896,0.071,
2015-02-18,57.421,0.000,
2015-02-19,53.104,0.000,
2015-02-20,53.946,0.000,
2015-02-21,48.704,0.000,
2015-02-22,47.775,0.000,
2015-02-23,48.067,0.000,
2015-02-24,44.692,0.000,
2015-02-25,37.696,0.000,
2015-02-26,43.642,0.000,
2015-02-27,39.508,0.000,
2015-02-28,39.654,0.000,
2015-03-01,38.354,0.000,
2015-03-02,36.196,0.000,
2015-03-03,33.288,0.000,
2015-03-04,38.363,0.000,
2015-03-05,30.083,0.000,
2015-03-06,31.275,0.000,
2015-03-07,26.142,0.000,
2015-03-08,26.904,0.000,
2015-03-09,25.258,0.000,
2015-03-10,27.946,0.000,
2015-03-11,28.913,0.000,
2015-03-12,29.225,0.000,
2015-03-13,26.182,0.000,
2015-03-14,29.888,0.000,
2015-03-15,29.392,0.000,
2015-03-16,41.900,0.000,
2015-03-17,46.304,0.000,763.300
2015-03-18,49.346,0.000,761.208
2015-03-19,53.675,0.000,753.083
2015-03-20,52.567,0.000,754.167
2015-03-21,48.900,0.000,753.542
2015-03-22,47.542,0.000,757.292
2015-03-23,46.867,0.000,758.708
2015-03-24,47.338,0.000,756.917
2015-03-25,55.779,0.000,753.500
2015-03-26,63.613,0.000,753.292
2015-03-27,60.600,0.000,751.500
2015-03-28,59.588,0.000,754.167
2015-03-29,62.100,0.000,762.458
2015-03-30,64.746,0.000,764.875
2015-03-31,60.800,0.000,760.833
2015-04-01,59.417,0.000,760.417
2015-04-02,70.221,0.000,758.208
2015-04-03,59.825,19.358,751.667
2015-04-04,56.379,20.183,752.042
2015-04-05,54.279,20.108,756.083
2015-04-06,50.888,20.183,759.500
2015-04-07,50.350,20.196,759.542
2015-04-08,48.496,20.217,757.875
2015-04-09,45.929,20.196,755.292
2015-04-10,46.588,20.167,757.583
2015-04-11,45.004,20.133,758.458
2015-04-12,44.992,20.196,757.167
2015-04-13,43.017,20.171,759.583
2015-04-14,43.433,20.254,757.000
2015-04-15,43.338,20.183,751.833
2015-04-16,41.617,20.188,753.125
2015-04-17,42.638,20.229,760.333
2015-04-18,45.171,20.158,758.438
2015-04-19,43.108,20.179,763.542
2015-04-20,47.133,20.233,778.354
2015-04-21,47.333,20.267,777.083
2015-04-22,50.442,20.296,767.000
2015-04-23,56.113,20.371,765.000
2015-04-24,53.913,20.292,758.917
2015-04-25,56.033,20.446,753.292
2015-04-26,53.958,20.317,751.583
2015-04-27,50.292,20.342,753.792
2015-04-28,50.004,20.258,755.250
2015-04-29,47.813,20.242,754.250
2015-04-30,50.967,20.396,761.833
2015-05-01,52.504,20.250,771.042
2015-05-02,54.058,20.100,765.750
2015-05-03,54.479,20.150,761.583
2015-05-04,55.658,20.275,765.917
2015-05-05,62.442,20.271,761.625
2015-05-06,67.313,20.288,760.500
2015-05-07,65.704,20.246,758.583
2015-05-08,65.092,20.296,758.000
2015-05-09,57.479,20.217,759.625
2015-05-10,53.267,20.204,763.708
2015-05-11,51.338,20.196,765.375
2015-05-12,52.921,20.158,766.250
2015-05-13,51.204,20.396,766.917
2015-05-14,57.892,20.288,764.167
2015-05-15,56.225,20.188,755.000
2015-05-16,59.538,20.317,752.917
2015-05-17,71.067,20.338,759.625
2015-05-18,71.671,20.475,758.833
2015-05-19,63.646,20.513,759.833
2015-05-20,64.075,20.375,767.583
2015-05-21,64.600,20.396,771.667
2015-05-22,64.325,20.321,771.375
2015-05-23,64.283,20.367,767.250
2015-05-24,67.554,20.475,763.583
2015-05-25,66.250,20.417,761.708
2015-05-26,63.917,20.358,764.917
2015-05-27,64.433,20.421,763.833
2015-05-28,67.167,20.354,760.500
2015-05-29,63.704,20.396,760.083
2015-05-30,60.392,20.454,761.708
2015-05-31,60.813,20.358,764.208
2015-06-01,63.083,20.246,767.077
2015-06-02,63.454,20.375,761.625
2015-06-03,65.554,20.383,754.708
2015-06-04,66.088,20.246,749.250
2015-06-05,56.167,20.125,744.625
2015-06-06,50.963,20.275,746.792
2015-06-07,51.879,20.196,753.042
2015-06-08,53.321,20.208,764.708
2015-06-09,54.479,20.188,765.273
2015-06-10,49.033,20.146,763.250
2015-06-11,46.733,20.288,764.250
2015-06-12,44.592,20.204,762.875
2015-06-13,43.588,20.275,761.375
2015-06-14,38.354,20.450,758.250
2015-06-15,34.471,20.425,750.125
2015-06-16,35.504,20.546,743.333
2015-06-17,33.300,20.554,741.042
2015-06-18,34.367,20.429,746.083
2015-06-19,33.100,20.367,748.500
2015-06-20,33.179,20.292,750.583
2015-06-21,30.975,18.333,750.750
2015-06-22,30.813,17.838,748.542
2015-06-23,30.083,17.246,748.958
2015-06-24,31.933,18.158,750.250
2015-06-25,31.246,18.213,756.000
2015-06-26,30.913,18.208,764.250
2015-06-27,32.817,18.125,772.250
2015-06-28,36.421,18.108,779.750
2015-06-29,34.383,18.029,786.667
2015-06-30,30.829,18.004,777.196
2015-07-01,30.883,18.175,762.438
2015-07-02,28.783,16.125,764.500
2015-07-03,24.513,11.900,768.250
2015-07-04,22.929,10.254,769.083
2015-07-05,22.938,10.113,769.167
2015-07-06,24.629,11.867,769.292
2015-07-07,24.929,12.046,767.417
2015-07-08,27.479,14.533,764.667
2015-07-09,27.971,15.046,754.625
2015-07-10,31.838,17.833,747.750
2015-07-11,30.596,17.596,747.250
2015-07-12,29.967,16.917,750.417
2015-07-13,33.488,16.683,749.708
2015-07-14,26.975,8.242,747.792
2015-07-15,25.592,6.829,752.208
2015-07-16,26.558,7.996,759.458
2015-07-17,30.196,11.746,753.750
2015-07-18,30.967,12.308,754.208
2015-07-19,31.125,12.550,754.917
2015-07-20,29.313,10.579,748.417
2015-07-21,29.838,11.146,748.750
2015-07-22,32.013,13.500,754.458
2015-07-23,31.521,12.867,761.417
2015-07-24,30.529,11.679,758.667
2015-07-25,27.467,8.775,755.583
2015-07-26,25.567,6.900,754.417
2015-07-27,28.829,10.092,751.563
2015-07-28,27.429,8.796,751.042
2015-07-29,29.971,11.471,746.083
2015-07-30,28.246,9.592,740.792
2015-07-31,31.013,12.517,738.792
2015-08-01,31.479,12.700,740.188
2015-08-02,31.750,13.113,756.708
2015-08-03,31.088,15.129,759.333
2015-08-04,25.529,12.767,755.542
2015-08-05,26.542,13.900,751.917
2015-08-06,24.875,12.063,754.792
2015-08-07,23.142,10.325,757.167
2015-08-08,19.692,6.738,751.625
2015-08-09,20.050,7.029,747.708
2015-08-10,18.804,9.667,742.083
2015-08-11,17.983,8.733,741.042
2015-08-12,20.750,11.500,735.104
2015-08-13,22.275,13.154,732.208
2015-08-14,21.029,8.450,733.083
2015-08-15,24.658,11.621,735.667
2015-08-16,20.329,7.292,735.208
2015-08-17,19.392,6.125,733.292
2015-08-18,19.350,6.350,735.000
2015-08-19,19.288,6.379,734.167
2015-08-20,19.475,6.392,732.000
2015-08-21,18.825,5.813,732.292
2015-08-22,17.583,4.800,733.792
2015-08-23,18.367,5.613,747.958
2015-08-24,20.967,8.217,742.375
2015-08-25,16.863,4.188,726.292
2015-08-26,17.108,3.888,734.000
2015-08-27,19.188,6.633,
2015-08-28,20.442,7.867,727.625
2015-08-29,19.350,6.783,727.375
2015-08-30,18.883,6.238,728.500
2015-08-31,18.979,6.317,727.628
2015-09-01,18.825,0.267,732.101
2015-09-02,17.308,0.000,731.375
2015-09-03,15.838,0.000,727.875
2015-09-04,18.300,0.000,728.917
2015-09-05,20.738,0.000,729.500
2015-09-06,24.608,0.000,738.292
2015-09-07,18.046,0.000,729.375
2015-09-08,21.675,0.000,722.458
2015-09-09,21.896,0.000,718.500
2015-09-10,18.250,0.000,719.417
2015-09-11,20.483,0.000,724.833
2015-09-12,19.725,0.000,725.979
2015-09-13,16.625,0.000,728.083
2015-09-14,22.275,0.000,731.833
2015-09-15,21.558,0.000,737.667
2015-09-16,23.133,0.000,739.708
2015-09-17,17.975,0.000,745.688
2015-09-18,21.875,0.000,743.375
2015-09-19,19.704,0.000,735.188
2015-09-20,17.096,0.000,730.625
2015-09-21,19.663,0.000,725.833
2015-09-22,18.942,0.000,724.400
2015-09-23,19.404,0.000,
2015-09-24,19.733,0.000,
2015-09-25,16.238,0.000,
2015-09-26,16.642,0.000,
2015-09-27,18.050,0.000,
2015-09-28,18.196,0.000,
2015-09-29,17.792,0.000,
2015-09-30,16.088,0.000,
2015-10-01,16.475,0.000,
2015-10-02,14.613,0.000,
2015-10-03,13.854,0.000,
2015-10-04,15.329,0.000,
2015-10-05,16.300,0.000,
2015-10-06,16.154,0.000,
2015-10-07,18.350,0.000,
2015-10-08,19.667,0.000,
2015-10-09,18.204,0.000,
2015-10-10,14.983,0.000,
2015-10-11,16.383,0.000,
2015-10-12,15.775,0.000,
2015-10-13,15.042,0.008,
2015-10-14,22.542,0.000,
2015-10-15,14.458,0.000,
